,Name,Age,Class/Dept,Ticket,Embarked,Job
34,"ALLEN, Mr Frederick",17,Victualling Crew, ,Southampton,Lift Steward                             
35,"ALLISON, Mr Hudson Joshua Creighton",30,1st Class Passenger,113781£151               16s               ,Southampton,Businessman                             
36,"ALLISON, Mrs Bessie Waldo",25,1st Class Passenger,113781£151               16s               ,Southampton,                             
37,"ALLISON, Miss Helen Loraine",2,1st Class Passenger,113781£151               16s               ,Southampton,                             
38,"ALLISON, Master Hudson Trevor",11m,1st Class Passenger,113781£151               16s               ,Southampton,                             
39,"ALLSOP, Mr Alfred Samuel",34,Engineering Crew, ,Belfast,Electrician                             
40,"ALLSOP, Mr Frank Richard",41,Victualling Crew, ,Belfast,Saloon Steward                             
41,"ALLUM, Mr Owen George",15,3rd Class Passenger,2223£8               6s               ,Southampton,Gardener                             
42,"ANDERSEN, Mr Albert Karvin",33,3rd Class Passenger,4001£22               10s               6d,Southampton,Engineer                             
43,"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",19,3rd Class Passenger,350046£7               17s               1d,Southampton,                             
44,"ANDERSON, Mr Harry",47,1st Class Passenger,19952£26               11s               ,Southampton,Stockbroker                             
45,"ANDERSON, Mr James",40,Deck Crew, ,Southampton,Able Seaman                             
46,"ANDERSON, Mr Walter J.",48,Victualling Crew, ,Southampton,Bed Room Steward                             
47,"ANDERSSON, Miss Erna Alexandra",17,3rd Class Passenger,3101281£7               18s               6d,Southampton,                             
48,"ANDERSSON, Mr Johan Samuel",26,3rd Class Passenger,347075£7               15s               6d,Southampton,General Labourer                             
49,"ANDERSSON, Miss Ida Augusta Margareta",38,3rd Class Passenger,347091£7               15s               6d,Southampton,                             
50,"ANDERSSON, Mr Anders Johan",39,3rd Class Passenger,347082£31               5s               6d,Southampton,General Labourer                             
51,"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,3rd Class Passenger,347082£31               5s               6d,Southampton,                             
52,"ANDERSSON, Miss Sigrid Elisabeth",11,3rd Class Passenger,347082£31               5s               6d,Southampton,                             
53,"ANDERSSON, Miss Ingeborg Constanzia",9,3rd Class Passenger,347082£31               5s               6d,Southampton,                             
54,"ANDERSSON, Miss Ebba Iris Alfrida",6,3rd Class Passenger,347082£31               5s               6d,Southampton,                             
55,"ANDERSSON, Master Sigvard Harald Elias",4,3rd Class Passenger,347082£31               5s               6d,Southampton,                             
56,"ANDERSSON, Miss Ellis Anna Maria",2,3rd Class Passenger,347082£31               5s               6d,Southampton,                             
57,"ANDREASSON, Mr Paul Edvin",20,3rd Class Passenger,347466£7               17s               1d,Southampton,General Labourer                             
58,"ANDREW, Mr Edgar Samuel",17,2nd Class Passenger,231945£11               10s               ,Southampton,                             
59,"ANDREW, Mr Frank Thomas",25,2nd Class Passenger,34050£10               10s               ,Southampton,Miner                             
60,"ANDREWS, Miss Kornelia Theodosia",62,1st Class Passenger,13502£77               19s               2d,Cherbourg,                             
61,"ANDREWS, Mr Thomas",39,1st Class PassengerH&W Guarantee Group,112050 ,Belfast,Shipbuilder                             
62,"ANDREWS, Mr Charles Edward",19,Victualling Crew, ,Southampton,Assistant Saloon Steward                             
63,"ANDREWS, Mr Archibald",38,Engineering Crew, ,Belfast,Fireman                             
64,"ANGHELOFF, Mr Minko",26,3rd Class Passenger,349202£7               17s               11d,Southampton,General Labourer                             
65,"ANGLE, Mr William A.",32,2nd Class Passenger,226875£26                             ,Southampton,                             
66,"ANGLE, Mrs Florence ""Mary"" Agnes",36,2nd Class Passenger,226875£26                             ,Southampton,                             
67,"APPLETON, Mrs Charlotte",53,1st Class Passenger,11769£51               9s               7d,Southampton,                             
68,"ARCHER, Mr Ernest Edward",36,Deck Crew, ,Southampton,Able Seaman                             
69,"ARMSTRONG, Mr James",31,Engineering Crew, ,Belfast,Fireman                             
70,"ARNOLD-FRANCHI, Mr Josef",25,3rd Class Passenger,349237£17               16s               ,Southampton,General Labourer                             
71,"ARNOLD-FRANCHI, Mrs Josefine",18,3rd Class Passenger,349237£17               16s               ,Southampton,                             
72,"ARONSSON, Mr Ernst Axel Algot",24,3rd Class Passenger,349911£7               15s               6d,Southampton,General Labourer                             
73,"ARTAGAVEYTIA, Mr Ramon",71,1st Class Passenger,17609£49               10s               1d,Cherbourg,Businessman                             
74,"ASHBY, Mr John",57,2nd Class Passenger,244346£13                             ,Southampton,                             
75,"ASHCROFT, Mr Austin Aloysius",26,Victualling Crew, ,Southampton,Clerk                             
76,"ASHE, Mr Henry Wellesley",41,Victualling Crew, ,Southampton,Glory hole steward (3rd class)                             
77,"ASIM, Mr Adola",35,3rd Class Passenger,3101310£7               1s               ,Southampton,General Labourer                             
78,"ASPESLAGH, Mr Georges",26,Restaurant Staff, ,Southampton,Assistant Plateman                             
79,"ASPLUND, Master Edvin Rojj Felix",3,3rd Class Passenger,347077£31               7s               9d,Southampton,                             
80,"ASPLUND, Mr Johan Charles",23,3rd Class Passenger,350054£7               15s               11d,Southampton,                             
81,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",40,3rd Class Passenger,347077£31               7s               9d,Southampton,General Labourer                             
82,"ASPLUND, Mrs Selma Augusta Emilia",38,3rd Class Passenger,347077£31               7s               9d,Southampton,                             
83,"ASPLUND, Master Carl Edgar",5,3rd Class Passenger,347077£31               7s               9d,Southampton,                             
84,"ASPLUND, Master Filip Oscar",13,3rd Class Passenger,347077£31               7s               9d,Southampton,                             
85,"ASPLUND, Master Clarence Gustaf Hugo",9,3rd Class Passenger,347077£31               7s               9d,Southampton,                             
86,"ASPLUND, Miss Lillian Gertrud",5,3rd Class Passenger,347077£31               7s               9d,Southampton,                             
87,"ASSAF, Mrs Mariana",45,3rd Class Passenger,2696£7               4s               6d,Cherbourg,                             
88,"ASSAM, Mr Ali",23,3rd Class Passenger,3101309£7               1s               ,Southampton,General Labourer                             
89,"ASTOR, Colonel John Jacob",47,1st Class Passenger,17757£247               10s               6d,Cherbourg,Property Developer / Real Estate                             
90,"ASTOR, Mrs Madeleine Talmage",18,1st Class Passenger,17757£247               10s               6d,Cherbourg,                             
91,"ATTALA, Mr Sleiman",27,3rd Class Passenger,2694£7               4s               6d,Cherbourg,Journalist                             
92,"ATTALAH, Miss Malake",17,3rd Class Passenger,2627£14               9s               2d,Cherbourg,                             
93,"AUBART, Mme. Léontine Pauline",24,1st Class Passenger,17477£69               6s               ,Cherbourg,Singer                             
94,"AUGUSTSSON, Mr Albert",23,3rd Class Passenger,347468£7               17s               1d,Southampton,General Labourer                             
95,"AULD, Mr James",32,Engineering Crew, ,Belfast,Trimmer                             
96,"AVERY, Mr James Albert",22,Engineering Crew, ,Southampton,Trimmer                             
97,"AYLING, Mr Edwin George",22,Victualling Crew, ,Southampton,Assistant Vegetable Cook                             
98,"AYOUB DAHER, Miss Banoura",15,3rd Class Passenger,2687£7               4s               7d,Cherbourg,                             
99,"BACCOS, Mr Raffull",20,3rd Class Passenger,2679£7               4s               6d,Cherbourg,Farm Labourer                             
100,"BACK, Mr Charles Frederick",32,Victualling Crew, ,Belfast,Assistant Lounge Steward                             
101,"BACKSTRöM, Mr Karl Alfred",32,3rd Class Passenger,3101278£15               17s               ,Southampton,General Labourer                             
102,"BACKSTRöM, Mrs Maria Mathilda",33,3rd Class Passenger,3101278£15               17s               ,Southampton,                             
103,"BACLINI, Mrs Latifa",24,3rd Class Passenger,2666£19               5s               2d,Cherbourg,                             
104,"BACLINI, Miss Marie Catherine",5,3rd Class Passenger,2666£19               5s               2d,Cherbourg,                             
105,"BACLINI, Miss Eugenie",3,3rd Class Passenger,2666£19               5s               2d,Cherbourg,                             
106,"BACLINI, Miss Helene Barbara",9m,3rd Class Passenger,2666£19               5s               2d,Cherbourg,                             
107,"BADMAN, Miss Emily Louisa",18,3rd Class Passenger,31416£8               1s               ,Southampton,Servant                             
108,"BADT, Mr Mohamed",40,3rd Class Passenger,2623£7               4s               6d,Cherbourg,Farmer                             
109,"BAGGOTT, Mr Allen Marden",28,Victualling Crew, ,Southampton,Saloon Steward                             
110,"BAGLEY, Mr Edward Henry",33,Victualling Crew, ,Southampton,Saloon Steward                             
111,"BAILEY, Mr Percy",15,2nd Class Passenger,29108£11               10s               ,Southampton,Butcher's Assistant                             
112,"BAILEY, Mr Henry Joseph",43,Deck Crew, ,Southampton,Master-at-arms                             
113,"BAILEY, Mr George W.",46,Engineering Crew, ,Southampton,Fireman                             
114,"BAILEY, Mr George Francis",36,Victualling Crew, ,Belfast,Saloon Steward                             
115,"BAILEY, Mr William",30,Engineering Crew, ,Belfast,Trimmer                             
116,"BAIN, Mr David",46,Engineering Crew, ,Belfast,Fireman                             
117,"BAINBRIGGE, Mr Charles Robert",23,2nd Class Passenger,31030£10               10s               ,Southampton,Horse Trainer                             
118,"BAINES, Mr Richard",24,Engineering Crew, ,Southampton,Greaser                             
119,"BAKER (?BARKER), Mr John",,Engineering Crew, ,Belfast,Fireman                             
120,"BALKIC, Mr Cerin",26,3rd Class Passenger,349248£7               17s               11d,Southampton,General Labourer                             
121,"BALL, Mrs Ada E.",36,2nd Class Passenger,28551£13                             ,Southampton,                             
122,"BALL, Mr Percy",19,Victualling Crew, ,Southampton,Plate Steward                             
123,"BANFI, Sig. Ugo",24,Restaurant Staff, ,Southampton,Waiter                             
124,"BANFIELD, Mr Frederick James",28,2nd Class Passenger,34068£10               10s               ,Southampton,Miner                             
125,"BANNON, Mr John",32,Engineering Crew, ,Southampton,Greaser                             
126,"BANSKI, Mrs Mara",31,3rd Class Passenger,349244£8               13s               8d,Southampton,                             
127,"BARBARA, Mrs Catherine David",45,3rd Class Passenger,2691£14               9s               1d,Cherbourg,Housekeeper                             
128,"BARBARA, Miss Saiide",18,3rd Class Passenger,2691£14               9s               1d,Cherbourg,Housekeeper                             
129,"BARBER, Miss Ellen Mary",26,1st Class PassengerServant,19877£78               17s               ,Southampton,Personal Maid                             
130,"BARKER, Mr Albert Vale",19,Victualling Crew, ,Southampton,Baker                             
131,"BARKER, Mr Ernest T.",37,Victualling Crew, ,Southampton,Saloon Steward                             
132,"BARKER, Mr Reginald Lomond",40,Victualling Crew, ,Belfast,Purser                             
133,"BARKER, Mr Stokes",26,Engineering Crew, ,Belfast,Leading Fireman                             
134,"BARKER, Mr George",56,Engineering Crew, ,Belfast,Storekeeper                             
135,"BARKER, Mr George",46,Deck Crew, ,Belfast,Able Seaman                             
136,"BARKLEY, Mr Robert",39,Engineering Crew, ,Belfast,Fireman                             
137,"BARKWORTH, Mr Algernon Henry",47,1st Class Passenger,27042£30                             ,Southampton,Justice of the Peace                             
138,"BARLOW, Mr Charles",30,Engineering Crew, ,Southampton,Fireman                             
139,"BARLOW, Mr George",36,Victualling Crew, ,Southampton,Bed Room Steward                             
140,"BARNES, Mr Charles",29,Engineering Crew, ,Southampton,Fireman                             
141,"BARNES, Mr J.",41,Engineering Crew, ,Southampton,Fireman                             
142,"BARNES, Mr Frederick",37,Victualling Crew, ,Southampton,Baker                             
143,"BARNES, Mr William",32,Engineering Crew, ,Belfast,Leading Fireman                             
144,"BARRATT, Mr Arthur",15,Victualling Crew, ,Southampton,Bell Boy                             
145,"BARRETT, Mr Frederick",28,Engineering Crew, ,Southampton,Leading Fireman                             
146,"BARRETT, Mr Frederick William",33,Engineering Crew, ,Southampton,Fireman                             
147,"BARRINGER, Mr Arthur William",33,Victualling Crew, ,Belfast,Saloon Steward (1st class)                             
148,"BARROW, Mr Harry",35,Victualling Crew, ,Southampton,Butcher                             
149,"BARROWS, Mr William",32,Victualling Crew, ,Southampton,Saloon Steward                             
150,"BARRY, Miss Julia",26,3rd Class Passenger,330844£7               17s               7d,Queenstown,Housekeeper                             
151,"BARRY, Mr James",31,Engineering Crew, ,Belfast,Trimmer                             
152,"BARTLEY, Mr Robert",32,Engineering Crew, ,Belfast,Trimmer                             
153,"BARTLEY, Mr Joseph",32,Victualling Crew, ,Belfast,Room Attendent                             
154,"BARTON, Mr David John",22,3rd Class Passenger,324669£8               1s               ,Southampton,General Labourer                             
155,"BARTON, Mr Sidney John",26,Victualling Crew, ,Southampton,3rd Class Steward                             
156,"BASILICO, Sig. Giovanni",27,Restaurant Staff, ,Southampton,Waiter                             
157,"BATEMAN, Fr Robert James",51,2nd Class Passenger,1166£12               10s               6d,Southampton,Priest / Minister                             
158,"BAUMANN, Mr John D.",60,1st Class Passenger,17318£25               18s               6d,Cherbourg,Businessman                             
159,"BAXTER, Mrs Hélène",50,1st Class Passenger,17558£247               10s               5d,Cherbourg,                             
160,"BAXTER, Mr Quigg Edmond",24,1st Class Passenger,17558£247               10s               5d,Cherbourg,                             
161,"BAXTER, Mr Harry Ross",51,Victualling Crew, ,Southampton,Steward                             
162,"BAXTER, Mr Thomas Ferguson",48,Victualling Crew, ,Southampton,Linen Steward                             
163,"BAZZANI, Mrs Albina",36,1st Class PassengerServant,11813£76               5s               10d,Cherbourg,Personal Maid                             
164,"BAZZI, Sig. Narciso",33,Restaurant Staff, ,Southampton,Waiter                             
165,"BEANE, Mr Edward",32,2nd Class Passenger,2908£26                             ,Southampton,                             
166,"BEANE, Mrs Ethel",19,2nd Class Passenger,2908£26                             ,Southampton,                             
167,"BEATTIE, Mr Thomson",36,1st Class Passenger,13050£75               4s               10d,Southampton,Landowner                             
168,"BEATTIE, Mr Joseph",35,Engineering Crew, ,Belfast,Greaser                             
169,"BEATTIE, Mr Francis",36,Engineering Crew, ,Belfast,Trimmer                             
170,"BEAUCHAMP, Mr Henry James",28,2nd Class Passenger,244358£26                             ,Southampton,                             
171,"BEAUCHAMP, Mr George William",24,Engineering Crew, ,Southampton,Fireman                             
172,"BEAVAN, Mr William Thomas",18,3rd Class Passenger,323951£8               1s               ,Southampton,General Labourer                             
173,"BECKER, Mrs Nellie E.",35,2nd Class Passenger,230136£39                             ,Southampton,                             
174,"BECKER, Miss Marion Louise",4,2nd Class Passenger,230136£39                             ,Southampton,                             
175,"BECKER, Master Richard F.",1,2nd Class Passenger,230136£39                             ,Southampton,                             
176,"BECKER, Miss Ruth Elizabeth",12,2nd Class Passenger,230136£39                             ,Southampton,                             
177,"BECKWITH, Mr Richard Leonard",37,1st Class Passenger,11751£52               11s               1d,Southampton,                             
178,"BECKWITH, Mrs Sallie",46,1st Class Passenger,11751£52               11s               1d,Southampton,                             
179,"BEDFORD, Mr William Barnett",31,Victualling Crew, ,Southampton,Assistant Roast Cook                             
180,"BEEDEM, Mr George Arthur",34,Victualling Crew, ,Southampton,2nd Class Bedroom Steward                             
181,"BEERE, Mr William",19,Victualling Crew, ,Southampton,Kitchen Porter                             
182,"BEESLEY, Mr Lawrence",34,2nd Class Passenger,248698£13                             ,Southampton,Teacher                             
183,"BEHR, Mr Karl Howell",26,1st Class Passenger,111369£30                             ,Cherbourg,                             
184,"BELL, Mr Joseph",50,Engineering Crew, ,Belfast,Chief Engineer                             
185,"BENDELL, Mr Frank",24,Engineering Crew, ,Southampton,Fireman                             
186,"BENGTSSON, Mr Johan Viktor",26,3rd Class Passenger,347068£7               15s               6d,Southampton,General Labourer                             
187,"BENHAM, Mr Frederick",29,Victualling Crew, ,Southampton,Saloon Steward                             
188,"BENNETT, Mr George Alfred",30,Engineering Crew, ,Southampton,Fireman                             
189,"BENNETT, Mrs Mabel",33,Victualling Crew, ,Southampton,Stewardess                             
190,"BENSON, Mr James",50,Deck Crew, ,Belfast,Able Seaman                             
191,"BENSON, Mr John",26,Deck Crew, ,Belfast,Able Seaman                             
192,"BENSON, Mr William",25,Engineering Crew, ,Belfast,Trimmer                             
193,"BENTHAM, Miss Lillian W.",19,2nd Class Passenger,28404£13                             ,Southampton,                             
194,"BENVILLE, Mr E.",42,Engineering Crew, ,Southampton,Fireman                             
195,"BERGLUND, Mr Karl Ivar Sven",22,3rd Class Passenger,4348£9               7s               ,Southampton,General Labourer                             
196,"BERNARDI, Sig. Battista",22,Restaurant Staff, ,Southampton,Assistant Waiter                             
197,"BERRIMAN, Mr William John",23,2nd Class Passenger,28425£13                             ,Southampton,                             
198,"BESSANT, Mr William Edward",39,Engineering Crew, ,Southampton,Fireman                             
199,"BESSANT, Mr Edward",31,Victualling Crew, ,Southampton,1st class baggage steward                             
200,"BESSETTE, Miss Nellie Mayo",39,1st Class PassengerServant,17760£63               7s               2d,Cherbourg,Personal Maid                             
201,"BEST, Mr Alfred Edwin",38,Victualling Crew, ,Belfast,Saloon Steward                             
202,"BETROS, Mr Tannous",20,3rd Class Passenger,2648£7               4s               7d,Cherbourg,Shoemaker                             
203,"BEUX, Mr David",26,Restaurant Staff, ,Southampton,Assistant Waiter                             
204,"BEVIS, Mr Joseph Henry",22,Engineering Crew, ,Southampton,Trimmer                             
205,"BIDDLECOMBE, Mr Reginald Arthur Charles",32,Engineering Crew, ,Southampton,Fireman                             
206,"BIDOIS, Miss Rosalie",46,1st Class PassengerServant,17757£247               10s               6d,Cherbourg,Personal Maid                             
207,"BIETRIX, Mr George Baptiste",28,Restaurant Staff, ,Southampton,Cook                             
208,"BIGGS, Mr Edward Charles",20,Engineering Crew, ,Southampton,Fireman                             
209,"BILLOWS, Mr James",20,Engineering Crew, ,Southampton,Trimmer                             
210,"BING, Mr Lee",32,3rd Class Passenger,1601£56               9s               11d,Southampton,Seaman                             
211,"BINSTEAD, Mr Walter William",20,Engineering Crew, ,Southampton,Trimmer                             
212,"BIRD, Miss Ellen",31,1st Class PassengerServant,17483£221               15s               7d,Southampton,Personal Maid                             
213,"BIRKELAND, Mr Hans Martin Monsen",21,3rd Class Passenger,312992£7               15s               6d,Southampton,Seaman                             
214,"BIRNBAUM, Mr Jakob",24,1st Class Passenger,13905£26                             ,Cherbourg,                             
215,"BISHOP, Mr Dickinson H.",25,1st Class Passenger,11967£91               1s               7d,Cherbourg,                             
216,"BISHOP, Mrs Helen",19,1st Class Passenger,11967£91               1s               7d,Cherbourg,                             
217,"BISHOP, Mr Walter Alexander",33,Victualling Crew, ,Belfast,1st Class Bedroom Steward                             
218,"BITTLE, Mr Robert",37,Engineering Crew, ,Belfast,Fireman                             
219,"BJöRKLUND, Mr Ernst Herbert",18,3rd Class Passenger,347090£7               15s               ,Southampton,General Labourer                             
220,"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Hokan",28,1st Class Passenger,110564£26               11s               ,Southampton,Businessman                             
221,"BLACK, Mr Alexander",28,Engineering Crew, ,Southampton,Fireman                             
222,"BLACK, Mr D.",41,Engineering Crew, ,Southampton,Fireman                             
223,"BLACK, Mr James",38,Engineering Crew, ,Belfast,Fireman                             
224,"BLACKMAN, Mr Albert Edward",23,Engineering Crew, ,Southampton,Fireman                             
225,"BLACKWELL, Mr Stephen Weart",45,1st Class Passenger,113784£35               10s               ,Southampton,                             
226,"BLAIR, Mr David",37,Deck Crew, ,Belfast,Second Officer                             
227,"BLAKE, Mr Percival Albert",22,Engineering Crew, ,Southampton,Trimmer                             
228,"BLAKE, Mr Seaton",26,Engineering Crew, ,Belfast,Mess Steward                             
229,"BLAKE, Mr Thomas",36,Engineering Crew, ,Southampton,Fireman                             
230,"BLANEY, Mr James",32,Engineering Crew, ,Southampton,Fireman                             
231,"BLANK, Mr Henry",39,1st Class Passenger,112277£31                             ,Cherbourg,Jeweller                             
232,"BLANN, Mr Eustace Horatius",21,Engineering Crew, ,Southampton,Fireman                             
233,"BLISS, Mrs Emma",45,Victualling Crew, ,Southampton,Stewardess                             
234,"BLOOMER, Mr James",40,Deck Crew, ,Belfast,Able Seaman                             
235,"BLUMET, Mr Jean Baptiste",26,Restaurant Staff, ,Southampton,Pantryman                             
236,"BOAL, Mr John",40,Engineering Crew, ,Belfast,Fireman                             
237,"BOCHATAY, Mr Alexis Joseph",30,Victualling Crew, ,Southampton,Chef                             
238,"BOCHET, Mr Pierre Giuseppe",,Restaurant Staff, ,Southampton,Waiter                             
239,"BOGIE, Mr Norman Leslie",29,Victualling Crew, ,Southampton,Bed Room Steward                             
240,"BOLHUIS, Mr Hendrik",21,Restaurant Staff, ,Southampton,Larder Cook                             
241,"BOND, Mr William John",40,Victualling Crew, ,Belfast,Bed Room Steward                             
242,"BONNELL, Miss Caroline",30,1st Class Passenger,36928£164               17s               4d,Southampton,                             
243,"BONNELL, Miss Elizabeth",61,1st Class Passenger,113783£26               11s               ,Southampton,                             
244,"BOOTHBY, Mr W.",36,Victualling Crew, ,Southampton,Bed Room Steward                             
245,"BOREBANK, Mr John James",42,1st Class Passenger,110489£26               11s               ,Southampton,Property Developer / Real Estate                             
246,"BOSTANDYEFF, Mr Guentcho",26,3rd Class Passenger,349224£7               17s               11d,Southampton,General Labourer                             
247,"BOSTON, Mr William John",31,Victualling Crew, ,Belfast,Assistant Deck Steward (1st Class)                             
248,"BOTSFORD, Mr William Hull",25,2nd Class Passenger,237670£13                             ,Southampton,                             
249,"BOTT, Mr William Thomas",44,Engineering Crew, ,Southampton,Greaser                             
250,"BOUGHTON, Mr Bernard John",24,Victualling Crew, ,Southampton,First class saloon steward                             
251,"BOULOS, Mrs Sultana",40,3rd Class Passenger,2678£15               4s               11d,Cherbourg,                             
252,"BOULOS, Miss Nourelain",7,3rd Class Passenger,2678£15               4s               11d,Cherbourg,                             
253,"BOULOS, Master Akar",9,3rd Class Passenger,2678£15               4s               11d,Cherbourg,                             
254,"BOURKE, Mr John",42,3rd Class Passenger,364849£15               10s               ,Queenstown,Farmer                             
255,"BOURKE, Mrs Catherine",32,3rd Class Passenger,364849£15               10s               ,Queenstown,Housewife                             
256,"BOURKE, Miss Mary",40,3rd Class Passenger,364848£7               15s               ,Queenstown,                             
257,"BOWEN, Miss Grace Scott",45,1st Class PassengerServant,17608£262               7s               6d,Cherbourg,Governess                             
258,"BOWEN, Mr David John ""Dai""",26,3rd Class Passenger,54636£16               2s               ,Southampton,Pugilist                             
259,"BOWENUR, Mr Solomon",42,2nd Class Passenger,211535£13                             ,Southampton,Merchant                             
260,"BOWERMAN, Miss Elsie Edith",22,1st Class Passenger,113505£55                             ,Southampton,                             
261,"BOWKER, Miss Ruth",27,Restaurant Staff, ,Southampton,Cashier                             
262,"BOXHALL, Mr Joseph Groves",28,Deck Crew, ,Belfast,4th. Officer                             
263,"BOYD, Mr John",35,Victualling Crew, ,Southampton,Saloon Steward                             
264,"BOYD, Mr Adam",38,Engineering Crew, ,Belfast,Fireman                             
265,"BOYES, Mr John Henry",36,Victualling Crew, ,Belfast,Saloon Steward (1st class)                             
266,"BRACKEN, Mr James H.",29,2nd Class Passenger,220367£13                             ,Southampton,Stockman                             
267,"BRADLEY, Miss Bridget Delia",22,3rd Class Passenger,334914£7               14s               6d,Queenstown,                             
268,"BRADLEY, Mr T.",29,Deck Crew, ,Southampton,Able Seaman                             
269,"BRADLEY, Mr Patrick Joseph",39,Engineering Crew, ,Southampton,Fireman                             
270,"BRADSHAW, Mr J. A.",43,Victualling Crew, ,Southampton,Plate Steward                             
271,"BRADY, Mr John Bertram",41,1st Class Passenger,113054£30               10s               ,Southampton,                             
272,"BRAF, Miss Elin Ester Maria",20,3rd Class Passenger,347471£7               17s               1d,Southampton,Servant                             
273,"BRAILEY, Mr W. Theodore Ronald",24,2nd Class PassengerMusician,250654 ,Southampton,Musician                             
274,"BRAND, Mr ",,1st Class PassengerCross Channel Passenger,8£1               10s               ,Southampton,                             
275,"BRANDEIS, Mr Emil",48,1st Class Passenger,17591£50               9s               11d,Cherbourg,                             
276,"BRAUND, Mr Lewis Richard",29,3rd Class Passenger,3460£7                             11d,Southampton,Farm Labourer                             
277,"BRAUND, Mr Owen Harris",22,3rd Class Passenger,21171£7               5s               ,Southampton,Ironmonger                             
278,"BRENNAN, Mr Thomas",39,Engineering Crew, ,Belfast,Leading Fireman                             
279,"BRERETON, Mr George Andrew",37,1st Class Passenger,111427£26               11s               ,Southampton,                             
280,"BREWE, Dr Arthur Jackson",45,1st Class Passenger,112379£39               12s               ,Cherbourg,                             
281,"BREWER, Mr Henry (""Harry"")",30,Engineering Crew, ,Southampton,Trimmer                             
282,"BREWSTER, Mr George H.",48,Victualling Crew, ,Belfast,Bed Room Steward                             
283,"BRIANT, Mr Albert",34,Engineering Crew, ,Southampton,Greaser                             
284,"BRICE, Mr Walter T",42,Deck Crew, ,Southampton,Able Seaman                             
